Book_name,Details_link,Author_name,Narrated_by,Length,Release_date,Language,Rating
Spare,https://www.audible.co.uk//pd/Spare-Audiobook/B0BJ4X9D2F?plink=NLVU4QSBbmLENPJY,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins,"Release date:
                                    01-10-23","Language:
                                      English","54,835 ratings"
Atomic Habits,https://www.audible.co.uk//pd/Atomic-Habits-Audiobook/1524779261?plink=NLVU4QSBbmLENPJY,James Clear,James Clear,Length: 5 hrs and 35 mins,"Release date:
                                    10-16-18","Language:
                                      English","124,134 ratings"
Lessons in Chemistry,https://www.audible.co.uk//pd/Lessons-in-Chemistry-Audiobook/0593507533?plink=NLVU4QSBbmLENPJY,Bonnie Garmus,Miranda Raison,Length: 11 hrs and 55 mins,"Release date:
                                    04-05-22","Language:
                                      English","18,694 ratings"
Daisy Jones & The Six,https://www.audible.co.uk//pd/Daisy-Jones-The-Six-Audiobook/1984845306?plink=NLVU4QSBbmLENPJY,Taylor Jenkins Reid,Jennifer Beals,Length: 9 hrs and 3 mins,"Release date:
                                    03-05-19","Language:
                                      English","34,844 ratings"
Never Finished,https://www.audible.co.uk//pd/Never-Finished-Audiobook/B0BJ34FWZ3?plink=NLVU4QSBbmLENPJY,David Goggins,David Goggins,Length: 11 hrs and 6 mins,"Release date:
                                    12-06-22","Language:
                                      English","21,885 ratings"
I'm Glad My Mom Died,https://www.audible.co.uk//pd/Im-Glad-My-Mom-Died-Audiobook/B09VHWHJS2?plink=NLVU4QSBbmLENPJY,Jennette McCurdy,Jennette McCurdy,Length: 6 hrs and 26 mins,"Release date:
                                    08-09-22","Language:
                                      English","94,392 ratings"
It Ends with Us,https://www.audible.co.uk//pd/It-Ends-with-Us-Audiobook/B01GGKQVFU?plink=NLVU4QSBbmLENPJY,Colleen Hoover,Olivia Song,Length: 11 hrs and 11 mins,"Release date:
                                    08-02-16","Language:
                                      English","63,568 ratings"
A Woman in Time,https://www.audible.co.uk//pd/A-Woman-in-Time-Audiobook/B09RTJ7KT1?plink=NLVU4QSBbmLENPJY,Bobi Conn,Shannon McManus,Length: 11 hrs and 9 mins,"Release date:
                                    08-30-22","Language:
                                      English",94 ratings
The Subtle Art of Not Giving a F*ck,https://www.audible.co.uk//pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?plink=NLVU4QSBbmLENPJY,Mark Manson,Roger Wayne,Length: 5 hrs and 17 mins,"Release date:
                                    09-13-16","Language:
                                      English","168,194 ratings"
Someone Else's Shoes,https://www.audible.co.uk//pd/Someone-Elses-Shoes-Audiobook/B0B7XYMQ32?plink=NLVU4QSBbmLENPJY,Jojo Moyes,Daisy Ridley,Length: 12 hrs and 21 mins,"Release date:
                                    02-07-23","Language:
                                      English","1,288 ratings"
"Harry Potter and the Sorcerer's Stone, Book 1",https://www.audible.co.uk//pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?plink=NLVU4QSBbmLENPJY,J.K. Rowling,Jim Dale,Length: 8 hrs and 18 mins,"Release date:
                                    11-20-15","Language:
                                      English","184,581 ratings"
Remarkably Bright Creatures,https://www.audible.co.uk//pd/Remarkably-Bright-Creatures-Audiobook/B09DTFJ94X?plink=NLVU4QSBbmLENPJY,Shelby Van Pelt,Marin Ireland,Length: 11 hrs and 16 mins,"Release date:
                                    05-03-22","Language:
                                      English","21,845 ratings"
Verity,https://www.audible.co.uk//pd/Verity-Audiobook/B07Q769RZS?plink=NLVU4QSBbmLENPJY,Colleen Hoover,Vanessa Johansson,Length: 8 hrs and 10 mins,"Release date:
                                    05-07-19","Language:
                                      English","109,906 ratings"
It Starts with Us,https://www.audible.co.uk//pd/It-Starts-with-Us-Audiobook/B09SBP7MWN?plink=NLVU4QSBbmLENPJY,Colleen Hoover,Colin Donnell,Length: 8 hrs and 41 mins,"Release date:
                                    10-18-22","Language:
                                      English","28,318 ratings"
12 Rules for Life,https://www.audible.co.uk//pd/12-Rules-for-Life-Audiobook/B0797YBP7N?plink=NLVU4QSBbmLENPJY,Jordan B. Peterson,Jordan B. Peterson,Length: 15 hrs and 40 mins,"Release date:
                                    01-23-18","Language:
                                      English","87,993 ratings"
Can't Hurt Me,https://www.audible.co.uk//pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?plink=NLVU4QSBbmLENPJY,David Goggins,David Goggins,Length: 13 hrs and 37 mins,"Release date:
                                    11-28-18","Language:
                                      English","190,489 ratings"
Demon Copperhead,https://www.audible.co.uk//pd/Demon-Copperhead-Audiobook/B09QH6P7X4?plink=NLVU4QSBbmLENPJY,Barbara Kingsolver,Charlie Thurston,Length: 21 hrs and 3 mins,"Release date:
                                    10-18-22","Language:
                                      English","9,629 ratings"
Burner,https://www.audible.co.uk//pd/Burner-Audiobook/B0B6CWW9MF?plink=NLVU4QSBbmLENPJY,Mark Greaney,Jay Snyder,Length: 16 hrs and 37 mins,"Release date:
                                    02-21-23","Language:
                                      English","1,006 ratings"
8 Rules of Love,https://www.audible.co.uk//pd/8-Rules-of-Love-Audiobook/B0BBS752S1?plink=NLVU4QSBbmLENPJY,Jay Shetty,Jay Shetty,Length: 10 hrs and 11 mins,"Release date:
                                    01-31-23","Language:
                                      English",264 ratings
Fairy Tale,https://www.audible.co.uk//pd/Fairy-Tale-Audiobook/B09R62PV4B?plink=NLVU4QSBbmLENPJY,Stephen King,Seth Numrich,Length: 24 hrs and 6 mins,"Release date:
                                    09-06-22","Language:
                                      English","60,859 ratings"
Greenlights,https://www.audible.co.uk//pd/Greenlights-Audiobook/0593294181?plink=VQnzOIaW6dVsmWKP,Matthew McConaughey,Matthew McConaughey,Length: 6 hrs and 42 mins,"Release date:
                                    10-20-20","Language:
                                      English","163,560 ratings"
The Last Thing He Told Me,https://www.audible.co.uk//pd/The-Last-Thing-He-Told-Me-Audiobook/179712319X?plink=VQnzOIaW6dVsmWKP,Laura Dave,Rebecca Lowman,Length: 8 hrs and 49 mins,"Release date:
                                    05-04-21","Language:
                                      English","52,324 ratings"
The Seven Husbands of Evelyn Hugo,https://www.audible.co.uk//pd/The-Seven-Husbands-of-Evelyn-Hugo-Audiobook/B072359S7K?plink=VQnzOIaW6dVsmWKP,Taylor Jenkins Reid,Alma Cuervo,Length: 12 hrs and 10 mins,"Release date:
                                    06-13-17","Language:
                                      English","76,236 ratings"
